No,Nama Perusahaan,Merek Perusahaan,Nomor Anggota,Nama Pimpinan,Perijinan,Kota,Provinsi,DPD
"202","PT UMI TOUR & TRAVEL","Umi Tour & Travel","372/AMPHURI/2017","H. Nabil Marie Thalib","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"203","PT CHANDRA CITRA UTAMA","Chandra Tour & Travel","374/AMPHURI/2017","Hj. Nurul Zakiyah","PPIU","","Banten","Banten"
"204","PT RADJA SAFARI WISATA","-","375/AMPHURI/2017","Hj. Mawardha, Dj","PIHK","","Sulawesi Selatan","Sulampua"
"205","PT ANNISA SAM ALAMIN","-","376/AMPHURI/2017","H. Sabaruddin Lamba, Sag","PPIU","","Sulawesi Tengah","Sulampua"
"206","PT AFTA SEMESTA TRAVELINDO","Afta Tours","378/AMPHURI/2017","Hj. Monia Fitrie","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"207","PT CINTA AROFAH RAUDAH","Travel Umroh Dan Haji","377/AMPHURI/2017","Dra. Hj. Farida Listuti","PIHK","","Jawa Barat","Jawa Barat"
"208","PT SURYA MASPUL","-","380/AMPHURI/2017","Dra. Hj. Nurdiana, Mm","PIHK","","Sulawesi Selatan","Sulampua"
"209","PT KAMILAH WISATA MUSLIM","Kwm","381/AMPHURI/2018","H. Bambang Kuswanto","PIHK","","Kalimantan Selatan","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"210","PT BASMAH JAYA WISATA","-","382/AMPHURI/2018","H. Salim Hasan Barakwan","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"211","PT ODIFA JELAJAH DUNIA","Odifa Tour & Travel","383/AMPHURI/2018","Hj. Bety Dwi Kurniawati","PIHK","","Jawa Timur","Jawa Timur"
"212","PT SUTRA TOUR HIDAYAH","-","385/AMPHURI/2018","H. Muhammad Subur","PIHK","","Jawa Timur","Jawa Timur"
"213","PT FADHIL AMANAH WISATA","-","386/AMPHURI/2018","Ir. H. Bungsu A.M Sumawijaya, Mba","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"214","PT ALMEERAH PLAZA UMROH TOUR & TRAVEL","Almeerah Plaza Tour & Travel","387/AMPHURI/2018","Hj. Mita Hayati Tanjung","PIHK","","Sumatera Utara","Sumatera Utara"
"215","PT MALINDO MEKKAH MADINAH","Malindo Mekkah Madinah","389/AMPHURI/2018","H. Hendriansyah, Lc, Ma","PPIU","","Sumatera Utara","Sumatera Utara"
"216","PT TAWASSUL NUR HASANAH","Travel Umroh","391/AMPHURI/2018","Hj. Hazenenny","PPIU","","Sumatera Utara","Sumatera Utara"
"217","PT LAZUARDI HARMONI TUR","Lazuardi Harmoni Umrah & Hajj","394/AMPHURI/2018","H. Muhammad Danial Nafis","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
